,Read	HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq
,Acc00001.1	3868,5065,3477,1504,1598,2533,1360,2026,1163,1813,1161,1948,1938,1546,1360,1981,2127,2051,1713,1262,1667,1492,936,1147,641,1040,846
,Acc00002.1	4,2,2,1,4,2,0,0,0,0,0,0,7,0,2,0,1,0,1,0,0,1,0,0,0,0,0
,Acc00003.1	5,1,2,25,54,46,4,27,19,7,4,5,2,0,2,1,3,3,1,0,0,0,4,0,0,0,0
,Acc00004.1	1,16,7,12,29,52,34,20,22,9,9,22,9,1,1,0,1,0,0,0,0,0,0,0,0,0,0
,Acc00005.1	1014,1174,656,805,838,1147,910,1391,894,1128,725,1094,383,549,346,1037,1009,1120,511,412,459,582,444,553,501,818,558
,Acc00006.1	2631,3026,2170,2434,2479,3562,1660,2519,1544,1913,1168,1816,1519,1382,1136,1475,1760,1954,952,782,1015,1523,889,1345,620,1008,920
,Acc00007.1	52,92,67,34,54,72,80,109,59,80,59,83,55,42,34,23,43,35,41,6,18,52,24,35,19,26,29
,Acc00008.1	46,72,39,20,18,16,36,26,12,20,16,33,23,17,10,5,9,15,16,9,2,22,14,8,7,10,4
,Acc00009.1	0,5,2,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
,Acc00010.1	1883,2379,1721,1823,1843,2627,1972,2895,1667,2887,1852,2596,2338,1743,1610,1961,2413,2708,1499,1003,1427,1463,1120,1285,746,1212,866
,Acc00011.1	5376,6071,4601,4172,4314,8576,4750,7796,5096,5364,3460,5593,7340,5866,4237,6913,8432,7626,4027,3293,4139,5196,2535,3914,2675,3510,3207
,Acc00012.1	0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,1
,Acc00013.1	1410,2074,1354,1227,1435,2253,1219,1933,1084,1592,1105,1525,1558,1341,1275,1605,1989,2097,1122,956,1403,1233,796,873,289,450,376
,Acc00014.1	2193,2517,1661,1607,1593,2472,1686,2321,1380,1948,1150,1958,1485,1100,1084,1149,1506,1535,1184,912,1343,1467,964,1127,635,905,771
,Acc00015.1	1020,1333,884,416,492,683,506,707,524,829,529,762,729,746,625,1147,1360,1204,802,574,776,791,502,640,211,406,323
,Acc00016.1	20668,25570,16888,10338,10691,16753,12437,19741,11868,22603,13731,19715,17596,15771,14789,12587,14290,16616,4028,3250,4332,4234,3118,3644,1863,3082,2598
,Acc00017.1	68,77,61,99,150,284,79,147,101,51,21,32,20,27,15,49,80,68,128,143,159,31,19,23,4,6,14
,Acc00018.1	456,497,396,246,319,458,270,386,247,320,198,322,289,237,173,305,454,406,318,209,344,536,277,404,284,448,295
,Acc00019.1	111,113,120,75,90,172,73,91,95,67,65,87,76,42,37,55,69,134,51,36,53,150,81,72,33,103,104
,Acc00020.2	1237,1333,971,616,643,1244,569,867,489,659,392,812,581,368,228,460,461,411,431,332,501,735,469,572,650,891,767
,Acc00021.1	969,1277,846,396,444,738,612,969,551,951,659,1026,1127,893,757,1066,1316,1284,847,665,1122,1263,901,947,305,550,476
,Acc00022.1	351,994,433,322,519,494,390,1146,1494,701,162,147,735,974,990,7071,8268,6213,456,383,375,77,55,53,315,72,65
,Acc00023.1	2593,3174,2246,1983,2118,2951,2444,3364,2081,3549,1922,2883,2005,1729,1552,2156,2552,2813,711,460,774,627,428,539,128,228,205
,Acc00024.1	22686,29688,19804,9009,9033,14653,3592,5813,3875,4159,2637,3666,7169,2134,5123,413,642,282,31,26,41,34,44,58,50,55,54
,Acc00025.1	1194,1572,1086,1053,1236,1829,1342,2279,1353,1810,1149,1835,1498,1085,992,653,846,832,573,478,734,1214,716,1176,469,640,553
,Acc00026.1	2181,2597,1762,1427,1482,1934,1725,2809,1677,2855,1836,2701,2033,753,1401,56,91,82,6,0,1,5,1,2,5,5,1
,Acc00027.1	25428,30214,22247,11540,11482,18834,10571,16126,10012,15184,9097,13297,11318,8458,6929,8525,10166,10145,6914,5787,8010,8858,5584,7575,4343,5992,5423
,Acc00028.1	1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,Acc00029.1	31,40,30,31,31,60,84,139,75,323,200,464,83,20,33,0,3,9,4,0,4,1,0,1,0,1,0
,Acc00030.1	10,7,19,3,1,4,1,11,9,64,33,60,27,3,6,0,1,1,0,0,1,0,1,1,0,0,0
,Acc00031.1	3,1,3,11,6,8,0,5,7,7,4,11,2,2,2,0,5,0,6,6,2,3,2,8,9,5,0
,Acc00032.1	696,915,609,555,596,849,537,841,464,803,539,673,738,487,463,776,741,855,672,402,644,875,568,624,798,1214,919
,Acc00033.1	256,245,230,159,196,308,156,237,119,169,77,155,116,33,47,14,15,16,4,8,3,6,2,6,0,4,4
,Acc00034.1	2585,3830,2427,1458,1583,1959,1911,2477,1546,2567,1595,2302,1391,1410,1245,1404,1547,1406,1145,690,1043,260,132,169,69,151,107
,Acc00035.1	1137,1514,1107,767,833,1161,797,1070,717,1478,857,1315,1203,956,782,1216,1375,1366,844,633,962,1239,887,934,622,915,648
,Acc00036.1	5002,6221,4491,3511,3471,6044,3889,6153,3496,5899,3632,5552,4795,4273,3780,5366,6155,6177,3989,2952,4465,4071,2674,3182,2068,3069,2432
,Acc00037.1	4502,5812,4014,3068,3142,5405,3201,4764,2643,4498,2426,4615,4283,2251,2103,2569,2986,2911,2139,1693,2771,3307,1973,2457,1246,2039,1559
,Acc00038.1	3,15,14,14,8,16,8,16,17,148,82,112,82,90,94,74,118,109,56,23,45,4,2,5,0,1,0
,Acc00040.1	1,1,5,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,3,1,18,15,24,17
,Acc00042.1	12,12,4,2,1,9,1,10,4,7,5,10,5,11,8,4,16,2,12,7,1,21,8,14,7,13,17
,Acc00043.1	92,139,113,90,104,185,84,138,93,139,74,145,70,86,48,46,45,34,22,26,30,34,10,20,7,2,8
,Acc00044.1	185,206,185,164,174,225,151,228,135,178,88,175,106,122,72,54,75,80,10,6,27,13,8,16,1,1,0
,Acc00045.1	5,4,0,13,11,16,10,14,11,12,1,11,1,1,0,1,7,0,3,1,1,4,1,1,2,0,0
,Acc00046.1	7811,12034,7671,7164,7402,8585,5839,8643,4692,6903,4431,6335,5540,6001,5666,7355,8738,11495,7154,7510,6358,7553,6440,7096,4535,6022,5220
,Acc00047.1	9,7,3,4,0,2,0,1,3,6,0,5,0,4,2,3,5,7,3,4,1,5,2,1,0,1,0
,Acc00048.1	34,49,57,89,120,126,39,46,17,44,24,22,30,15,6,0,0,1,0,0,2,0,0,0,1,0,2
,Acc00049.1	419,543,403,161,221,418,322,473,301,554,353,560,461,385,303,455,513,479,348,344,475,391,318,333,170,252,214
,Acc00050.1	26,35,36,11,25,16,6,28,3,8,0,10,12,0,6,4,3,10,0,0,0,0,0,0,0,0,0
,Acc00051.1	1255,1793,1347,606,637,1136,548,866,540,539,428,844,755,830,399,798,1047,829,751,466,737,1616,1046,1234,603,828,680
,Acc00052.1	43,30,15,14,24,22,9,20,8,31,13,15,19,11,10,22,38,27,44,20,27,33,17,15,8,6,7
,Acc00053.1	77,106,69,1548,1480,3817,441,544,395,94,38,71,144,19,118,7,4,2,2,1,1,18,6,5,1,2,2
,Acc00054.1	649,1387,761,557,645,854,457,920,402,883,575,511,745,883,1128,935,1190,1567,1005,1057,868,956,865,985,1027,1363,1205
,Acc00055.1	6049,8993,5883,5508,5490,8805,4214,6900,3897,6998,4780,6989,7602,4037,4063,4027,4888,5318,3948,3639,4857,5496,3198,4057,1906,3042,2284
,Acc00057.1	0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,10,0,6,0,0,4,0
,Acc00058.1	1413,1878,1570,3212,3398,6399,1804,2396,1309,892,475,815,425,196,210,196,259,238,216,127,186,90,46,65,20,27,39
,Acc00059.1	275,360,272,107,148,216,145,281,158,351,196,278,439,382,366,469,621,647,426,384,437,358,330,335,155,173,171
,Acc00060.1	431,545,371,130,134,231,220,279,147,346,292,406,291,89,154,18,57,46,30,29,11,15,3,6,0,1,2
,Acc00061.1	172,244,130,297,285,460,302,407,219,124,74,140,63,28,45,26,70,21,0,1,0,1,8,0,0,0,0
,Acc00062.1	706,999,661,456,534,780,448,693,427,732,432,699,568,514,341,577,524,696,503,493,498,438,287,292,175,220,174
,Acc00063.1	1843,2606,1508,1204,1447,2140,1599,2076,1248,2013,1267,1910,1345,1092,1193,1144,1484,1252,861,627,940,1334,825,1087,1234,1849,1398
,Acc00064.1	35,31,26,11,0,13,0,10,11,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
,Acc00065.1	1794,2191,1594,815,877,1208,699,1036,686,1444,688,903,910,713,677,1199,1390,1262,1327,955,1373,1636,949,1286,491,713,546
,Acc00066.1	5,17,14,1,1,4,0,1,6,0,0,2,4,1,2,6,7,0,8,1,0,0,0,0,0,1,2
,Acc00067.1	162,159,135,192,253,352,110,195,143,204,66,136,91,34,26,21,13,17,1,0,3,0,0,1,0,1,0
,Acc00068.1	14818,19699,13077,7081,7963,11749,14337,18694,9794,15744,9857,14457,8161,7091,7433,6287,7582,8110,4946,3773,4692,6417,4549,5078,4740,6991,5480
,Acc00069.1	360,401,395,272,332,463,321,464,219,529,452,642,675,162,409,38,66,27,6,20,2,4,1,16,7,11,4
,Acc00070.1	59,83,94,44,48,86,54,59,90,86,33,62,69,30,15,21,34,21,15,0,7,4,0,1,0,0,1
,Acc00071.1	16,8,24,12,13,13,51,57,55,460,518,977,1322,143,533,21,39,10,6,2,0,0,0,0,0,0,1
,Acc00072.1	12484,14747,9782,6907,7628,13162,9758,15505,9052,23208,15340,23589,22317,22256,16501,29710,33113,34502,23393,17593,24936,23503,16078,19062,11600,16794,13838
,Acc00074.1	1831,2084,1665,561,531,760,428,743,396,942,566,839,944,839,567,2351,2140,1897,2772,2274,2930,8651,6110,7206,18255,30823,24473
,Acc00075.1	681,577,375,119,89,125,85,171,94,102,65,121,306,66,110,34,23,30,24,43,30,10,1,3,36,76,69
,Acc00076.1	1811,2463,1643,1135,1284,2177,1456,2592,1412,2621,1606,2506,2318,1871,1496,1941,2034,2513,1893,1393,2074,1845,1161,1489,520,899,695
,Acc00077.1	8264,9785,6739,2059,2555,4218,3216,5062,2791,4899,3048,4795,4562,2652,2863,3393,3416,3129,2359,1564,2262,1699,1133,1105,1437,2091,1633
,Acc00078.1	4647,6637,5506,5103,5475,6188,3699,5686,3266,3227,2176,2617,121,31,97,2,12,1,0,2,0,1,4,0,4,7,0
,Acc00079.1	134,95,120,91,84,167,32,40,29,40,67,67,13,6,2,0,2,0,0,0,0,0,0,0,0,0,1
,Acc00080.1	357,427,282,167,194,285,243,298,201,299,204,183,260,176,197,188,187,171,104,108,122,48,49,54,11,7,13
,Acc00081.1	672,877,645,290,362,484,358,539,256,463,271,428,476,475,442,689,751,732,668,491,716,955,754,767,646,968,799
,Acc00082.1	1214,1697,1222,655,766,1082,675,1092,646,1517,874,1435,2134,1426,1681,2269,2516,2685,2461,1706,2376,5185,3760,4219,3791,5277,4148
,Acc00083.1	818,954,724,579,644,864,467,814,523,692,434,777,550,633,372,1104,1128,1134,1112,973,1236,1589,942,1251,270,531,395
,Acc00085.1	5,4,2,24,16,19,21,29,9,20,7,16,0,16,1,3,25,6,0,4,0,1,0,0,0,0,1
,Acc00086.1	5675,7212,4808,3651,3456,5488,3764,5306,3397,6748,3841,5541,5303,4768,3497,9713,10683,9679,6161,4696,6628,5947,4075,4892,3301,5025,3876
,Acc00087.1	2205,2721,1624,1622,1711,2449,2020,2915,1741,2873,1400,2488,2966,2972,2079,3837,3865,3932,1393,837,1434,2457,1530,1762,2999,4747,3649
,Acc00088.1	10971,14665,9069,9579,9889,15091,15132,23465,13478,25314,15232,19458,21383,24422,24744,33941,39718,41985,19058,14013,18374,15013,10012,12178,8160,13384,10505
,Acc00089.1	1742,2252,1577,1671,1718,2047,1747,2547,1652,3181,2001,3008,2453,1386,1682,584,864,751,415,339,421,255,170,182,57,50,53
,Acc00090.1	92,127,109,135,186,273,238,249,180,270,181,257,130,54,72,17,45,23,8,6,4,3,2,1,0,5,1
,Acc00092.1	1019,1311,1044,773,771,1048,710,1268,696,803,658,794,728,564,602,490,604,701,509,428,438,675,467,650,600,720,604
,Acc00093.1	96,90,41,86,102,152,51,129,58,55,31,56,29,26,28,4,8,2,2,0,1,9,0,2,1,0,2
,Acc00094.1	194,225,197,137,143,249,98,182,102,164,93,103,87,63,80,100,101,92,32,78,53,71,45,63,36,58,49
,Acc00095.1	1088,1616,1073,36,22,37,24,6,26,58,12,65,86,21,40,56,26,36,40,65,55,205,142,187,914,1072,1103
,Acc00096.1	5,34,3,2,6,12,33,26,6,36,1,12,8,6,0,0,0,4,3,0,0,0,0,0,0,0,0
,Acc00097.1	3104,3580,2469,1106,1170,1789,1020,1640,951,1671,971,1435,2310,1638,1630,2234,2490,2693,2049,1433,2090,4041,2915,3494,2751,4179,3424
,Acc00098.1	2107,2728,1922,1820,1883,3298,2412,3651,2197,3837,2508,3754,3048,2821,2340,2533,3040,3101,1613,1268,1762,1114,683,877,343,504,348
,Acc00099.1	215,276,154,160,201,347,167,219,103,165,125,173,374,95,371,68,125,36,3,11,7,5,11,13,2,12,1
,Acc00100.1	613,740,400,788,913,1479,951,1380,742,1404,856,1575,2290,673,1162,238,210,248,38,22,44,18,23,43,13,23,19
,Acc00101.1	7171,10343,6259,6634,7618,10927,9019,11567,6165,12075,6864,10372,7791,6865,5899,9338,10886,11173,5541,3714,5529,8746,5141,5943,4671,7254,5584
,Acc00102.1	447,589,377,390,393,686,341,487,274,277,155,248,361,181,206,198,245,168,100,110,124,136,95,111,67,124,80
,Acc00103.1	96,131,87,6,8,18,16,30,18,25,8,20,15,4,12,9,9,1,5,2,2,35,33,42,88,161,145
,Acc00104.1	1241,1573,1283,764,896,1308,847,1623,809,2280,1597,2539,1991,1746,1661,2617,2622,2953,2913,2054,3293,4983,3314,4236,4201,6390,5004
,Acc00105.1	266,370,242,655,678,1434,368,522,265,329,260,374,382,149,356,58,68,60,42,28,48,20,15,2,2,0,0
,Acc00106.1	308,471,317,124,122,238,382,448,313,374,147,411,916,103,306,32,49,23,19,2,4,14,4,6,1,0,1
,Acc00108.1	1706,2067,1423,853,926,1336,1040,1651,963,1625,1027,1648,1620,1410,1190,1508,1790,1851,1293,1121,1446,1551,965,1189,685,944,757
,Acc00109.1	3798,5309,3204,1428,1660,2843,2001,3149,1760,3289,1890,3333,2971,2249,2288,2519,2921,2820,1649,1337,1999,2107,1491,1723,1460,2462,1918
,Acc00110.1	380,574,338,342,432,651,272,422,237,241,167,247,229,164,165,260,273,254,148,171,160,257,154,175,122,130,168
,Acc00111.1	15,22,13,1,0,1,13,19,4,5,5,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0
