Column name,Concentration (fmol)
Cucsa.000200,-0.07512114897678535
Cucsa.000210,-0.07400313871655352
Cucsa.000230,-0.07512114897678535
Cucsa.000250,-0.059685552691243635
Cucsa.000290,-0.07492661438696689
Cucsa.001310,-0.07146847195249548
Cucsa.001320,-0.07159493668578537
Cucsa.001330,-0.07034153546557526
Cucsa.001340,-0.0721120169425023
Cucsa.001360,-0.06374694345795007
Cucsa.001370,-0.07408698796375343
Cucsa.001400,-0.07502949886204537
Cucsa.001410,-0.07267112906111416
Cucsa.002240,-0.07508312097264037
Cucsa.002260,-0.06935721683107018
Cucsa.002280,-0.06926204267698514
Cucsa.002290,-0.0717839722207321
Cucsa.002310,-0.07491911953233017
Cucsa.002320,-0.06057772558601402
Cucsa.002330,-0.07512114897678535
Cucsa.002530,-0.07223838934050066
Cucsa.002540,-0.07452952720986729
Cucsa.002590,-0.07236970316941624
Cucsa.002600,-0.07397287933853633
Cucsa.002610,-0.07512114897678535
Cucsa.002620,-0.07183735835836674
Cucsa.002630,-0.05883724252523251
Cucsa.002640,-0.06990085078467469
Cucsa.002650,-0.07338575271522471
Cucsa.002660,-0.0701557644098875
Cucsa.002670,-0.07502248891008755
Cucsa.002680,-0.07341466426381739
Cucsa.002880,-0.06925387996584567
Cucsa.002900,-0.07331697465450188
Cucsa.002920,-0.07505660078935757
Cucsa.002930,-0.07262105047086062
Cucsa.002940,-0.07283302188304577
Cucsa.002950,-0.07453142529082758
Cucsa.002960,-0.06575391481385072
Cucsa.002980,-0.07467758681260785
Cucsa.003190,-0.06368880235777935
Cucsa.003210,-0.07300209179134422
Cucsa.003220,0.04949519180845709
Cucsa.003230,-0.07018658644766158
Cucsa.003430,-0.0711298194101197
Cucsa.003830,-0.0749678445266697
Cucsa.003840,-0.06391843329672954
Cucsa.003850,-0.06672359285216631
Cucsa.003860,-0.07411376845363521
Cucsa.003880,-0.07397959878596863
Cucsa.003910,-0.07149692459906139
Cucsa.003950,-0.0625116000250415
Cucsa.003960,-0.038024315352368436
Cucsa.003970,-0.04494153806393923
Cucsa.004190,-0.0545147377120099
Cucsa.004200,-0.07350407029585412
Cucsa.004230,-0.054290026833945806
Cucsa.004430,-0.06859721252504103
Cucsa.004450,-0.07478661022793645
Cucsa.004460,-0.0736421150453288
Cucsa.004470,-0.07154436172248094
Cucsa.004500,-0.07391460626481604
Cucsa.004510,-0.07466848962253683
Cucsa.004520,-0.07019044205477291
Cucsa.004530,-0.06953665110660134
Cucsa.004580,-0.07512114897678535
Cucsa.004590,-0.07512114897678535
Cucsa.004610,-0.07135839024782771
Cucsa.004650,-0.07091338367604214
Cucsa.004660,-0.053328783820973606
Cucsa.004670,-0.0693380581929711
Cucsa.004700,-0.07386807156735899
Cucsa.004920,-0.06257366628576252
Cucsa.004950,-0.0693941878903359
Cucsa.004960,-0.07486287182277553
Cucsa.005000,-0.07162903358450885
Cucsa.005010,-0.0743864013378372
Cucsa.005020,-0.07136727694116171
Cucsa.005030,-0.06993518843892335
Cucsa.005040,-0.05978938111772077
Cucsa.005050,-0.07406972160765918
Cucsa.005080,-0.06894127693981145
Cucsa.005090,-0.0743928085255106
Cucsa.005100,-0.07473059866469035
Cucsa.005110,-0.07481935580553674
