,Read	HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq,HTSeq
,CsGy0G000010.1	24,8,18,4,12,6,10,17,13,9,9,22,6,17,10,10,15,16,4,6,12,8,7,6,7,7,12
,CsGy0G000020.1	0,0,0,0,0,6,1,0,0,0,0,2,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0
,CsGy0G000030.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000040.1	164,86,188,101,96,118,83,57,82,15,22,16,20,17,28,15,20,26,18,5,8,23,0,8,0,8,8
,CsGy0G000050.1	15,11,9,10,3,23,20,17,12,4,2,2,4,0,4,2,0,2,4,2,0,1,0,1,0,0,0
,CsGy0G000060.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000070.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000080.1	179,131,125,125,161,180,122,101,123,46,69,57,74,37,113,48,54,55,37,57,23,61,62,44,36,38,28
,CsGy0G000090.1	1,0,0,1,1,2,0,1,0,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0
,CsGy0G000100.1	97,81,75,80,79,98,66,40,68,31,30,41,20,43,44,48,30,40,17,54,34,26,48,48,16,28,44
,CsGy0G000110.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000120.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
,CsGy0G000130.1	8,4,4,7,3,4,11,2,11,3,0,7,0,8,4,0,2,6,0,2,2,8,3,6,4,2,6
,CsGy0G000140.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,CsGy0G000150.1	9,4,5,10,12,0,8,8,6,0,5,3,3,5,2,6,7,7,8,5,7,3,3,2,3,4,1
,CsGy0G000160.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000170.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000180.1	190,92,117,150,150,122,179,107,92,61,38,57,45,59,96,33,52,75,42,65,65,110,52,68,44,104,51
,CsGy0G000190.1	0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0
,CsGy0G000200.1	392,128,284,186,234,241,191,110,225,39,69,53,45,37,104,37,40,35,1,13,9,18,20,7,10,7,9
,CsGy0G000210.1	0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0
,CsGy0G000220.1	2099,1120,1937,1445,1801,1527,2566,1760,1936,784,904,1193,1007,988,1802,725,1243,1090,950,1442,1254,2308,1919,1968,1267,1362,2098
,CsGy0G000230.1	4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,2,0,1,0,0,0,0,0
,CsGy0G000240.1	0,0,1,0,0,2,1,0,0,0,0,0,1,0,1,3,0,0,1,0,2,0,0,0,0,2,2
,CsGy0G000250.1	0,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0
,CsGy0G000260.1	0,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,CsGy0G000270.1	9,1,2,1,3,2,7,1,2,2,9,7,0,1,12,5,5,4,0,2,0,6,4,2,1,2,2
,CsGy0G000280.1	0,0,4,0,1,0,2,2,0,3,0,3,0,0,1,1,0,1,0,2,4,0,0,0,1,0,4
,CsGy0G000290.1	0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0
,CsGy0G000300.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000310.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000320.1	1854,674,916,1336,1570,1475,1520,1056,1101,620,580,819,714,785,1150,630,953,931,822,1084,1076,1732,1028,960,612,915,952
,CsGy0G000330.1	17,4,2,10,13,20,9,5,6,11,1,10,12,4,10,4,7,5,4,2,9,17,14,12,5,13,8
,CsGy0G000340.1	3,0,0,2,0,0,0,2,0,0,0,0,4,0,0,1,0,3,0,0,0,0,2,1,0,0,0
,CsGy0G000360.1	4551,2495,3661,3571,3870,3418,6027,4489,4249,3268,3566,3856,5597,4852,5618,3826,7267,7320,4904,3669,6171,4118,4384,3612,6162,4203,3509
,CsGy0G000370.1	0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,0,0,10,0
,CsGy0G000380.1	1590,882,1197,1244,1267,1215,1315,971,963,729,701,711,995,944,1340,829,1133,1357,837,876,1085,890,1003,698,820,574,892
,CsGy0G000390.1	229,126,151,60,185,137,79,82,84,40,48,12,18,47,46,12,42,69,2,1,6,0,0,0,4,2,2
,CsGy0G000400.1	5,2,5,1,3,3,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
,CsGy0G000410.1	1353,739,1238,1123,1320,1043,2080,1391,1498,456,655,1366,566,833,1697,391,517,656,181,863,348,387,267,283,153,187,183
,CsGy0G000420.1	1,0,0,0,1,0,2,1,0,0,4,0,2,1,4,0,0,1,3,0,8,3,1,1,0,0,0
,CsGy0G000430.1	328,122,121,216,194,234,255,186,218,105,89,92,122,129,191,117,168,179,113,117,173,99,104,101,81,61,41
,CsGy0G000440.1	511,258,400,421,454,309,151,122,333,32,49,9,1,17,10,10,24,45,9,56,20,23,3,5,9,94,1
,CsGy0G000450.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000460.1	22,6,17,24,22,23,44,17,17,48,26,44,64,86,68,56,146,120,83,115,180,107,95,83,66,154,54
,CsGy0G000470.1	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000480.1	1,0,0,1,1,4,1,2,9,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0
,CsGy0G000490.1	13138,7251,8671,8930,10426,8930,11497,7877,8393,5176,5184,5646,5471,5614,8133,4868,7332,7293,5309,5863,6574,9404,7723,6672,6124,5973,7079
,CsGy0G000500.1	27,8,16,0,10,22,277,113,56,224,206,372,1109,861,753,736,947,1116,324,215,455,267,852,425,750,361,46
,CsGy0G000510.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000520.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000530.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000540.1	0,0,0,1,1,0,3,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,2
,CsGy0G000550.1	60,48,59,62,63,59,83,38,51,56,26,59,120,126,68,62,177,160,323,143,342,149,232,139,584,255,142
,CsGy0G000560.1	0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0
,CsGy0G000570.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000590.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000600.1	1,1,2,3,5,4,2,1,1,0,0,0,0,2,1,1,2,4,0,2,4,0,2,2,0,2,0
,CsGy0G000610.1	94,41,42,69,30,7,68,1,0,43,15,87,49,70,2,5,69,12,22,8,52,69,43,30,69,107,0
,CsGy0G000620.1	4,0,2,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000630.1	38,24,31,24,35,26,30,22,28,2,2,11,9,11,10,3,16,8,2,13,27,13,13,9,14,18,30
,CsGy0G000640.1	10,6,3,10,3,7,9,6,12,1,1,3,1,2,2,2,9,3,0,6,3,2,2,0,3,8,6
,CsGy0G000650.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,CsGy0G000660.1	389,320,404,405,402,291,577,319,373,181,160,286,184,253,342,196,273,246,258,370,340,488,397,505,283,285,519
,CsGy0G000670.1	76,34,70,71,97,58,116,67,69,43,43,64,35,53,81,29,35,32,47,69,71,103,90,94,67,74,96
,CsGy0G000680.1	498,365,426,448,429,361,623,455,510,202,183,295,205,271,416,198,359,306,382,504,478,657,521,552,410,548,712
,CsGy0G000690.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000700.1	0,0,3,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
,CsGy0G000710.1	74,55,36,49,61,45,27,31,45,7,12,18,7,7,21,5,14,22,9,8,10,12,12,11,10,9,33
,CsGy0G000720.1	1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
,CsGy0G000730.1	784,330,437,636,620,610,490,319,471,209,165,259,246,230,360,224,229,229,69,438,227,636,350,317,165,340,483
,CsGy0G000740.1	1,1,1,0,2,1,1,0,2,2,0,4,1,0,4,3,2,0,3,1,0,2,1,2,0,4,1
,CsGy0G000750.1	48,11,21,10,52,25,44,26,22,3,14,22,16,10,46,16,13,29,18,10,17,16,27,22,6,8,21
,CsGy0G000760.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,CsGy0G000770.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000780.1	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000790.1	0,1,0,0,0,0,0,1,0,0,1,0,3,3,1,0,0,0,1,3,2,3,2,2,0,1,3
,CsGy0G000800.1	0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,CsGy0G000810.1	0,0,0,2,1,0,1,1,0,0,0,0,0,1,1,1,0,0,5,1,0,1,0,2,2,1,1
