,Read	HTSeq,HTSeq,HTSeq,HTSeq
,Actinidia00001.t1	0,0,0,0
,Actinidia00002.t1	283,391,210,114
,Actinidia00003.t1	0,0,0,0
,Actinidia00004.t1	3307,5057,3095,2779
,Actinidia00005.t1	30,35,10,143
,Actinidia00006.t1	12968,17043,10630,7889
,Actinidia00007.t1	109,157,100,76
,Actinidia00008.t1	1,1,4,0
,Actinidia00009.t1	509,622,563,408
,Actinidia00010.t1	1527,2081,1274,974
,Actinidia00011.t1	13,7,7,18
,Actinidia00012.t1	27,27,19,47
,Actinidia00013.t1	687,966,565,2469
,Actinidia00014.t1	11098,14011,10557,11286
,Actinidia00015.t1	2,4,4,0
,Actinidia00016.t1	10876,14383,9044,7096
,Actinidia00017.t2	2632,3270,2244,1453
,Actinidia00018.t1	25,14,31,175
,Actinidia00019.t1	4955,5967,3649,2989
,Actinidia00020.t1	254,346,239,138
,Actinidia00021.t1	678,927,619,425
,Actinidia00022.t1	0,4,2,16
,Actinidia00023.t1	658,899,635,455
,Actinidia00024.t1	6,5,2,15
,Actinidia00025.t1	7068,9966,6062,6765
,Actinidia00026.t1	3333,4544,3173,2811
,Actinidia00027.t1	532,640,488,373
,Actinidia00028.t1	522,738,390,606
,Actinidia00029.t1	578,1289,621,385
,Actinidia00030.t1	0,5,1,2
,Actinidia00031.t1	307,333,259,393
,Actinidia00032.t1	125,101,106,128
,Actinidia00033.t1	530,607,407,321
,Actinidia00034.t1	2,1,0,4
,Actinidia00035.t1	21,9,12,10
,Actinidia00036.t1	3,2,0,1
,Actinidia00037.t1	382,475,389,325
,Actinidia00038.t1	7,19,8,6
,Actinidia00039.t1	4,2,5,12
,Actinidia00040.t1	31567,40319,26793,17114
,Actinidia00041.t2	336,416,360,288
,Actinidia00042.t1	3099,4639,2777,1981
,Actinidia00043.t1	189,256,188,167
,Actinidia00044.t1	816,1121,750,530
,Actinidia00045.t1	23,39,30,14
,Actinidia00046.t1	641,831,563,370
,Actinidia00047.t2	3126,3783,2296,3498
,Actinidia00048.t2	3521,4632,3324,2274
,Actinidia00049.t1	1235,1675,1144,116
,Actinidia00050.t1	1683,2106,1630,1853
,Actinidia00051.t1	24638,29426,22482,21547
,Actinidia00052.t1	102,163,99,70
,Actinidia00053.t1	6898,8080,5498,3538
,Actinidia00054.t1	307,323,282,148
,Actinidia00055.t1	8755,10588,7371,5268
,Actinidia00056.t1	6348,8455,5575,3582
,Actinidia00057.t3	7970,9693,6587,2881
,Actinidia00058.t1	0,0,0,0
,Actinidia00059.t1	0,0,0,0
,Actinidia00060.t1	1398,1702,1183,1168
,Actinidia00061.t1	128,145,107,79
,Actinidia00062.t1	1106,1561,991,792
,Actinidia00063.t3	510,749,528,347
,Actinidia00064.t1	2546,2927,2069,1431
,Actinidia00065.t1	15,37,17,20
,Actinidia00066.t1	2583,3448,2307,1938
,Actinidia00067.t1	208,224,134,165
,Actinidia00068.t1	0,0,0,3
,Actinidia00069.t1	4834,10815,5219,2861
,Actinidia00070.t1	438,531,365,365
,Actinidia00071.t1	0,1,0,0
,Actinidia00072.t1	2874,3770,2351,1969
,Actinidia00073.t1	361,428,329,185
,Actinidia00074.t1	1384,1739,1235,831
,Actinidia00075.t1	536,657,444,313
,Actinidia00076.t1	622,745,582,273
,Actinidia00077.t1	188,260,241,265
,Actinidia00078.t1	3,6,7,3
,Actinidia00079.t1	62,106,33,123
,Actinidia00080.t1	363,582,338,351
,Actinidia00081.t1	767,942,690,647
,Actinidia00082.t1	7281,7628,4989,3449
,Actinidia00083.t1	1,2,1,0
,Actinidia00084.t1	1505,1842,1350,1071
,Actinidia00085.t1	1311,1496,1113,545
,Actinidia00086.t1	199,273,185,209
,Actinidia00087.t1	1785,2556,1705,1245
,Actinidia00088.t1	3907,4694,3617,4765
,Actinidia00089.t3	614,761,603,531
,Actinidia00090.t1	1609,2136,1382,1067
,Actinidia00091.t1	927,1224,843,531
,Actinidia00092.t1	823,1154,889,1465
,Actinidia00093.t1	154,204,149,58
,Actinidia00094.t1	1375,2042,1398,1219
,Actinidia00095.t2	1854,2573,1842,1177
,Actinidia00096.t1	1345,1609,1094,1207
,Actinidia00097.t1	0,1,0,0
,Actinidia00098.t1	322,509,306,1592
,Actinidia00099.t1	74,87,41,499
,Actinidia00100.t1	199,238,154,1779
,Actinidia00101.t1	47,101,60,90
,Actinidia00102.t1	0,0,0,0
,Actinidia00103.t2	832,896,673,421
,Actinidia00104.t1	17765,23571,16182,12953
,Actinidia00105.t1	1312,1793,1376,869
,Actinidia00106.t1	39,93,62,54
,Actinidia00107.t1	3362,3982,2943,1796
,Actinidia00108.t1	300,335,261,83
,Actinidia00109.t1	7,14,13,7
,Actinidia00110.t1	86,116,99,72
,Actinidia00111.t1	13,27,15,7
,Actinidia00112.t1	5795,8133,5338,4916
,Actinidia00113.t1	996,1292,1007,932
,Actinidia00114.t1	4440,5652,3901,2403
,Actinidia00115.t1	1470,1867,1366,789
,Actinidia00116.t1	2475,3327,2244,2039
,Actinidia00117.t1	1130,1850,1268,749
,Actinidia00118.t1	7,4,0,7
,Actinidia00119.t1	4562,6449,4238,2606
,Actinidia00120.t1	953,1256,883,762
,Actinidia00121.t1	15,26,27,17
,Actinidia00122.t1	138,146,112,183
,Actinidia00123.t1	138,205,106,132
,Actinidia00124.t1	179,310,156,160
,Actinidia00125.t1	445,720,401,385
,Actinidia00126.t1	436,667,388,423
,Actinidia00127.t1	185,207,123,120
,Actinidia00128.t1	686,819,658,555
,Actinidia00129.t1	44,56,41,25
,Actinidia00130.t1	42,69,37,53
,Actinidia00131.t1	486,541,430,343
,Actinidia00132.t1	298,392,372,270
,Actinidia00133.t1	37,80,49,4
,Actinidia00134.t1	0,0,0,0
,Actinidia00135.t1	530,825,606,572
,Actinidia00136.t1	12,30,25,0
,Actinidia00137.t1	8,12,21,14
,Actinidia00138.t2	2791,3221,2446,1375
,Actinidia00139.t1	70,115,78,87
,Actinidia00140.t1	286,409,219,513
,Actinidia00141.t1	363,392,272,566
,Actinidia00142.t1	649,878,535,231
,Actinidia00143.t1	940,1469,1016,821
