	Photosynthesis	Cellular respiration	Carbohydrate metabolism	Amino acid metabolism	Lipid metabolism	Nucleotide metabolism	Coenzyme metabolism	Polyamine metabolism	Secondary metabolism	Redox homeostasis	Phytohormone action	Chromatin organisation	Cell cycle organisation	DNA damage response	RNA biosynthesis	RNA processing	Protein biosynthesis	Protein modification	Protein homeostasis	Cytoskeleton organisation	Cell wall organisation	Vesicle trafficking	Protein translocation	Solute transport	Nutrient uptake	External stimuli response	Multi-process regulation	not assigned	Enzyme classification
0	Acc06486.1	Acc03599.1	Acc20666.1	Acc00525.1	Acc14373.1	Acc07286.1	Acc07732.1	Acc07097.1	Acc09671.1	Acc12926.1	Acc09339.1	Acc01059.1	Acc04763.1	Acc18136.1	Acc13146.1	Acc01733.1	Acc28307.1	Acc11178.1	Acc17949.1	Acc00786.1	Acc04430.1	Acc01562.1	Acc07201.1	Acc04593.1	Acc06042.1	Acc06498.1	Acc15932.1	Acc00002.1	Acc00012.1
1	Acc06487.1	Acc09870.1	Acc25119.1	Acc10268.1	Acc15062.1	Acc10762.1	Acc16179.1	Acc10758.1	Acc13574.1	Acc15636.1	Acc10322.1	Acc04202.1	Acc11533.1	Acc07156.1	Acc17001.1	Acc02972.1	Acc15124.1	Acc14640.1	Acc22117.1	Acc02353.1	Acc04976.1	Acc03700.1	Acc16371.1	Acc07304.1	Acc06043.1	Acc10700.1	Acc24169.1	Acc00003.1	Acc00355.1
2	Acc06597.1	Acc12730.1	Acc32974.1	Acc12383.1	Acc26112.1	Acc06712.1	Acc19769.1	Acc18667.1	Acc19167.1	Acc17944.1	Acc30846.1	Acc10405.1	Acc12069.1	Acc29036.1	Acc05245.1	Acc08625.1	Acc15178.1	Acc25969.1	Acc26862.1	Acc04113.1	Acc07765.1	Acc01580.1	Acc20960.1	Acc11130.1	Acc10340.1	Acc18797.1	Acc22069.1	Acc00004.1	Acc00413.1
3	Acc13590.1	Acc29113.1	Acc01635.1	Acc29250.1	Acc32538.1	Acc21286.1	Acc19389.1	Acc29265.1	Acc15731.1	Acc20054.1	Acc08298.1	Acc13464.1	Acc12296.1	Acc02456.1	Acc08675.1	Acc16821.1	Acc18844.1	Acc11916.1	Acc29592.1	Acc05941.1	Acc11596.1	Acc01758.1	Acc25436.1	Acc25910.1	Acc10341.1	Acc20738.1	Acc21923.1	Acc00007.1	Acc00554.1
4	Acc19270.1	Acc29525.1	Acc03686.1	Acc07367.1	Acc06183.1	Acc09706.1	Acc33296.1	Acc21511.1	Acc19966.1	Acc25018.1	Acc08302.1	Acc15138.1	Acc12588.1	Acc05638.1	Acc11886.1	Acc06855.1	Acc16009.1	Acc11956.1	Acc02147.1	Acc07439.1	Acc12241.1	Acc02842.1	Acc16439.1	Acc04584.1	Acc10342.1	Acc21342.1	Acc26685.1	Acc00009.1	Acc01146.1
5	Acc20748.1	Acc04443.1	Acc27716.1	Acc11202.1	Acc06635.1	Acc17498.1	Acc23254.1	Acc26226.1	Acc28869.1	Acc25019.1	Acc13541.1	Acc22759.1	Acc17841.1	Acc14024.1	Acc09558.1	Acc24640.1	Acc05327.1	Acc29025.1	Acc07865.1	Acc11720.1	Acc12241.2	Acc02988.1	Acc31763.1	Acc07098.1	Acc31019.1	Acc22895.1	Acc29881.1	Acc00010.1	Acc01173.1
6	Acc20749.1	Acc09725.1	Acc32335.1	Acc17892.1	Acc08173.1	Acc04364.1	Acc11421.1	Acc04514.1	Acc01123.1	Acc29588.1	Acc19200.1	Acc25599.1	Acc21080.1	Acc30600.1	Acc13832.1	Acc21565.1	Acc05328.1	Acc29453.1	Acc11026.1	Acc12107.1	Acc12462.1	Acc09568.1	Acc04418.1	Acc07291.1	Acc04824.1	Acc24301.1	Acc01304.1	Acc00021.1	Acc01685.1
7	Acc21327.1	Acc11934.1	Acc08433.1	Acc22149.1	Acc14211.1	Acc27738.1	Acc26193.1	Acc32511.1	Acc04449.1	Acc30209.1	Acc21143.1	Acc27390.1	Acc22522.1	Acc31273.1	Acc17330.1	Acc10010.1	Acc24229.1	Acc16669.1	Acc21452.1	Acc21151.1	Acc14572.1	Acc13822.1	Acc07269.1	Acc10406.1	Acc05180.1	Acc26493.1	Acc01674.1	Acc00024.1	Acc02152.1
8	Acc21328.1	Acc19248.1	Acc13454.1	Acc29540.1	Acc21488.1	Acc13862.1	Acc18848.1	Acc02251.1	Acc05319.1	Acc32455.1	Acc21754.1	Acc00597.1	Acc23788.1	Acc32901.1	Acc25906.1	Acc22413.1	Acc03431.1	Acc31963.1	Acc24718.1	Acc26113.1	Acc14664.1	Acc17348.1	Acc10787.1	Acc10759.1	Acc12108.1	Acc26521.1	Acc02581.1	Acc00031.1	Acc02434.1
9	Acc21442.1	Acc23432.1	Acc14896.1	Acc08568.1	Acc32812.1	Acc18953.1	Acc16496.1	Acc04011.1	Acc10882.1	Acc04489.1	Acc26525.1	Acc03738.1	Acc24098.1	Acc15349.1	Acc21284.1	Acc17738.1	Acc20236.1	Acc01639.1	Acc24905.1	Acc30467.1	Acc15421.1	Acc19001.1	Acc14502.1	Acc11524.1	Acc23858.1	Acc33061.1	Acc03835.1	Acc00032.1	Acc02927.1
10	Acc21686.1	Acc08433.1	Acc16917.1	Acc16868.1	Acc33174.1	Acc25332.1	Acc31795.1	Acc04315.1	Acc23455.1	Acc04490.1	Acc33731.1	Acc08566.1	Acc01102.1	Acc22540.1	Acc16767.1	Acc22280.1	Acc29743.1	Acc02884.1	Acc27521.1	Acc30711.1	Acc18687.1	Acc14188.1	Acc16275.1	Acc11860.1	Acc24130.1	Acc08596.1	Acc07530.1	Acc00033.1	Acc02928.1
11	Acc25199.1	Acc13454.1	Acc26007.1	Acc15901.1	Acc22894.1	Acc27508.1	Acc21258.1	Acc05840.1	Acc09481.1	Acc05272.1	Acc09261.1	Acc09457.1	Acc04491.1	Acc11299.1	Acc28867.1	Acc22607.1	Acc07860.1	Acc03927.1	Acc07900.1	Acc32537.1	Acc20710.1	Acc32830.1	Acc16277.1	Acc12309.1	Acc15222.1	Acc33581.1	Acc27655.1	Acc00037.1	Acc02929.1
12	Acc25200.1	Acc14896.1	Acc04986.1	Acc28146.1	Acc24552.1	Acc11679.1	Acc27401.1	Acc10095.1	Acc11070.1	Acc11960.1	Acc18848.1	Acc09936.1	Acc10862.1	Acc06255.1	Acc22434.1	Acc24529.1	Acc09445.1	Acc03941.1	Acc10986.1	Acc01717.1	Acc24020.1	Acc16417.1	Acc16279.1	Acc12477.1	Acc25530.1	Acc06458.1	Acc30201.1	Acc00044.1	Acc02930.1
13	Acc26384.1	Acc16917.1	Acc11580.1	Acc25923.1	Acc33062.1	Acc12159.1	Acc29935.1	Acc14119.1	Acc17255.1	Acc23488.1	Acc16452.1	Acc12444.1	Acc11958.1	Acc11282.1	Acc07792.1	Acc26941.1	Acc11040.1	Acc23123.1	Acc20760.1	Acc02025.1	Acc25160.1	Acc20034.1	Acc18777.1	Acc22509.1	Acc21965.1	Acc20768.1	Acc32265.1	Acc00047.1	Acc03740.1
14	Acc01764.1	Acc26007.1	Acc11581.1	Acc30192.1	Acc00450.1	Acc01595.1	Acc32029.1	Acc27263.1	Acc29034.1	Acc24359.1	Acc01356.1	Acc13735.1	Acc13238.1	Acc09497.1	Acc11158.1	Acc27106.1	Acc17215.1	Acc12726.1	Acc25210.1	Acc02960.1	Acc25637.1	Acc28827.1	Acc19650.1	Acc23592.1	Acc26710.1	Acc20980.1	Acc04365.1	Acc00049.1	Acc04235.1
15	Acc01781.1	Acc01635.1	Acc21221.1	Acc32245.1	Acc02077.1	Acc02851.1	Acc13768.1	Acc28573.1	Acc29464.1	Acc27892.1	Acc01540.1	Acc14426.1	Acc14887.1	Acc26257.1	Acc07405.1	Acc28629.1	Acc00615.1	Acc17249.1	Acc04215.1	Acc03890.1	Acc29178.1	Acc06195.1	Acc27210.1	Acc24025.1	Acc16395.1	Acc25220.1	Acc04371.1	Acc00058.1	Acc04455.1
16	Acc05136.1	Acc03686.1	Acc04643.1	Acc05528.1	Acc04163.1	Acc01956.1	Acc19427.1	Acc30818.1	Acc20841.1	Acc28321.1	Acc02639.1	Acc14859.1	Acc23082.1	Acc02062.1	Acc11232.1	Acc28632.1	Acc08608.1	Acc17253.1	Acc18171.1	Acc06464.1	Acc10709.1	Acc18107.1	Acc31606.1	Acc29162.1	Acc28764.1	Acc06468.1	Acc02509.1	Acc00059.1	Acc04525.1
