Gene,Transcrit
Acc00001,Acc00001.1
Acc00002,Acc00002.1
Acc00003,Acc00003.1
Acc00004,Acc00004.1
Acc00005,Acc00005.1
Acc00006,Acc00006.1
Acc00007,Acc00007.1
Acc00008,Acc00008.1
Acc00009,Acc00009.1
Acc00010,Acc00010.1
Acc00011,Acc00011.1
Acc00012,Acc00012.1
Acc00013,Acc00013.1
Acc00014,Acc00014.1
Acc00015,Acc00015.1
Acc00016,Acc00016.1
Acc00017,Acc00017.1
Acc00018,Acc00018.1
Acc00019,Acc00019.1
Acc00020,Acc00020.2
Acc00021,Acc00021.1
Acc00022,Acc00022.1
Acc00023,Acc00023.1
Acc00024,Acc00024.1
Acc00025,Acc00025.1
Acc00026,Acc00026.1
Acc00027,Acc00027.1
Acc00028,Acc00028.1
Acc00029,Acc00029.1
Acc00030,Acc00030.1
Acc00031,Acc00031.1
Acc00032,Acc00032.1
Acc00033,Acc00033.1
Acc00034,Acc00034.1
Acc00035,Acc00035.1
Acc00036,Acc00036.1
Acc00037,Acc00037.1
Acc00038,Acc00038.1
Acc00040,Acc00040.1
Acc00042,Acc00042.1
Acc00043,Acc00043.1
Acc00044,Acc00044.1
Acc00045,Acc00045.1
Acc00046,Acc00046.1
Acc00047,Acc00047.1
Acc00048,Acc00048.1
Acc00049,Acc00049.1
Acc00050,Acc00050.1
Acc00051,Acc00051.1
Acc00052,Acc00052.1
Acc00053,Acc00053.1
Acc00054,Acc00054.1
Acc00055,Acc00055.1
Acc00057,Acc00057.1
Acc00058,Acc00058.1
Acc00059,Acc00059.1
Acc00060,Acc00060.1
Acc00061,Acc00061.1
Acc00062,Acc00062.1
Acc00063,Acc00063.1
Acc00064,Acc00064.1
Acc00065,Acc00065.1
Acc00066,Acc00066.1
Acc00067,Acc00067.1
Acc00068,Acc00068.1
Acc00069,Acc00069.1
Acc00070,Acc00070.1
Acc00071,Acc00071.1
Acc00072,Acc00072.1
Acc00074,Acc00074.1
Acc00075,Acc00075.1
Acc00076,Acc00076.1
Acc00077,Acc00077.1
Acc00078,Acc00078.1
Acc00079,Acc00079.1
Acc00080,Acc00080.1
Acc00081,Acc00081.1
Acc00082,Acc00082.1
Acc00083,Acc00083.1
Acc00085,Acc00085.1
Acc00086,Acc00086.1
Acc00087,Acc00087.1
Acc00088,Acc00088.1
Acc00089,Acc00089.1
Acc00090,Acc00090.1
Acc00092,Acc00092.1
Acc00093,Acc00093.1
Acc00094,Acc00094.1
Acc00095,Acc00095.1
Acc00096,Acc00096.1
Acc00097,Acc00097.1
Acc00098,Acc00098.1
Acc00099,Acc00099.1
Acc00100,Acc00100.1
Acc00101,Acc00101.1
Acc00102,Acc00102.1
Acc00103,Acc00103.1
Acc00104,Acc00104.1
Acc00105,Acc00105.1
Acc00106,Acc00106.1
Acc00108,Acc00108.1
Acc00109,Acc00109.1
Acc00110,Acc00110.1
Acc00111,Acc00111.1
Acc00112,Acc00112.1
Acc00113,Acc00113.1
Acc00114,Acc00114.1
Acc00115,Acc00115.1
Acc00116,Acc00116.1
Acc00117,Acc00117.1
Acc00118,Acc00118.1
Acc00119,Acc00119.1
Acc00120,Acc00120.1
Acc00121,Acc00121.1
Acc00122,Acc00122.1
Acc00123,Acc00123.1
Acc00124,Acc00124.1
Acc00125,Acc00125.1
Acc00126,Acc00126.1
Acc00127,Acc00127.1
Acc00128,Acc00128.1
Acc00129,Acc00129.1
Acc00130,Acc00130.1
Acc00131,Acc00131.1
Acc00132,Acc00132.1
Acc00133,Acc00133.1
Acc00134,Acc00134.1
Acc00135,Acc00135.1
Acc00136,Acc00136.1
Acc00137,Acc00137.1
Acc00138,Acc00138.1
Acc00140,Acc00140.1
Acc00141,Acc00141.1
Acc00142,Acc00142.1
Acc00143,Acc00143.1
Acc00144,Acc00144.1
Acc00145,Acc00145.1
Acc00146,Acc00146.1
Acc00147,Acc00147.1
Acc00148,Acc00148.1
Acc00149,Acc00149.1
Acc00150,Acc00150.1
Acc00151,Acc00151.1
Acc00152,Acc00152.1
Acc00153,Acc00153.1
Acc00154,Acc00154.1
Acc00155,Acc00155.1
Acc00156,Acc00156.1
Acc00157,Acc00157.1
Acc00158,Acc00158.1
Acc00159,Acc00159.1
Acc00160,Acc00160.1
Acc00161,Acc00161.1
Acc00162,Acc00162.1
Acc00163,Acc00163.1
Acc00164,Acc00164.1
Acc00165,Acc00165.1
Acc00166,Acc00166.1
Acc00167,Acc00167.1
Acc00168,Acc00168.2
