"","TranscritID","Weight formula","Weight error","mRNA formula","mRNA error","Mean mRNA concentration","Mean protein concentration","Starting protein concentration value","ks","Normalized ks","kd","Fitting error value","Fitting error score","Fitting error message","Optimization error score","Optimization error message"
"1","Acc00334.1","Double sigmoid",0.132975667333564,"3_deg_log",0.409723761412636,0.234397854900548,30960.3582909692,3.22456085929354,336060.590688708,2.54428197612367,0.98984776893562,0.348461868669722,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"2","Acc00389.1","Double sigmoid",0.132975667333564,"3_deg_log",0.939224526816864,0.842678343630719,6441.10854955942,6.07768679642505,2678.98534883494,0.35048670877028,0.57720938573456,0.288956383984812,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"3","Acc00393.1","Double sigmoid",0.132975667333564,"3_deg_log",0.490199866652432,0.099801983549144,28129.963347019,3.17172241448889,1738838.91152308,6.16920720093396,2.84458849092309,0.282790444478445,4,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"4","Acc00398.1","Double sigmoid",0.132975667333564,"3_deg_log",0.443114076316217,0.129059947691552,12229.6689077963,3.35467639413702,675260.775024346,7.12604085685772,3.37755334994921,0.16995041231582,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"5","Acc00542.1","Double sigmoid",0.132975667333564,"3_deg_log",0.563327488809591,2.03033779867875,2283.59213772328,1.01730278431086,8641.7506400637,7.6833654668169,3.08478833702975,0.216217123587777,5,"Pretty accurate fit",10,"Optimisation converges to 3 indentical values"
"6","Acc00667.1","Double sigmoid",0.132975667333564,"3_deg_log",0.515840730046466,0.938935307426628,8318.61281055859,1.78316095568448,48384.8220948375,5.4612732727187,2.90308367048636,0.17549977478251,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"7","Acc00704.1","Double sigmoid",0.132975667333564,"3_deg_log",0.507827735897173,0.526767796771219,3226.63248458313,1.86324539900544,38490.4442738871,6.28380412822889,2.57081958049688,0.156287533991312,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
"8","Acc00785.1","Double sigmoid",0.132975667333564,"3_deg_log",0.462669339729763,0.180082980695012,50922.3997978685,3.29820363121444,58777.4639546282,0.207861784767774,0.0109761351619298,0.328847180184911,3,"Average fit",10,"Optimisation converges to 3 indentical values"
"9","Acc00868.1","Double sigmoid",0.132975667333564,"3_deg_log",0.476319906428903,0.398639327537173,7898.14576388014,1.8848143107427,403640.613652342,20.3727593290216,9.53353457902137,0.117451692656362,7,"Very accurate fit",10,"Optimisation converges to 3 indentical values"
"10","Acc00918.1","Double sigmoid",0.132975667333564,"3_deg_log",0.442861643561397,1.00828992189373,24420.3926321254,4.60678968833823,359168.552386498,14.829656389556,7.23956487023565,0.151718231852125,6,"Accurate fit",10,"Optimisation converges to 3 indentical values"
