Genes	Solyc09g089580.2	Solyc03g083910.2	Solyc07g052350.2	Solyc12g005860.1	Solyc01g079790.2	Solyc01g109790.2	Solyc07g019440.2	Solyc07g056140.2	Solyc02g088100.2	Solyc02g091490.2	Solyc03g006860.2	Solyc06g073190.2	Solyc03g121070.2	Solyc04g081400.2	Solyc10g074500.1	Solyc01g005560.2	Solyc02g086610.2	Solyc11g011930.1	Solyc04g081440.2	Solyc04g006970.2	Solyc07g055060.2	Solyc07g062530.2	Solyc10g007290.2	Solyc12g014250.1	Solyc04g014270.2	Solyc11g010450.1	Solyc12g095880.1	Solyc02g081160.2	Solyc04g082880.2	Solyc12g095760.1	Solyc03g095900.2	Solyc07g007790.2	Solyc01g007910.2	Solyc06g083790.2	Solyc07g042550.2	Solyc12g009300.1	Solyc11g011960.1
7	409.61	5251.05	29395.67	23454.62	6696.76	38808.93	16487.33	44102.82	55655.94	23264.73	27516.99	235868.41	26739.20	8848.12	35059.54	25042.78	15800.10	30984.67	17426.91	9946.91	11015.25	4612.19	2683.57	4914.01	4134.08	2864.89	21388.42	56201.47	10606.20	37355.34		1759.89	37361.94	80608.12	5766.29	100787.54	64660.20
8	378.31	6688.11	33944.87	24854.80	6890.99	36072.84	30458.70	40134.80	34669.63	24044.92	22627.11	224395.09	27154.31	6576.35	33351.06	17882.15	9100.39	34231.19	17709.86	7819.21	9908.34	4480.01	2771.52	4691.07	4809.79	2977.79	13293.09	58695.52	10391.98	34519.92	1306.47	1999.47	33242.71	81768.72	4831.16	78979.25	68023.61
8	356.69	4405.30	24569.42	19944.83		26991.96	15561.97	29927.21	27175.49	15748.07	10273.40	154993.39	11475.20	4080.63	26152.02	14853.23	9376.64	19415.48	10153.82	6540.85	8619.14	3105.23	798.12	3502.22	3410.75	2189.34	14845.02	38369.48	8672.41	23495.18		1349.35	10621.54	63600.92	3824.41	64254.83	48494.10
15	593.75	3339.30	17272.57	18960.75		46845.04	12399.00	37840.30	53925.46	15095.16	16774.33	191306.60	15238.60	10082.75	17495.47	16170.30	8193.43	6116.40	12650.64	12200.90	8643.50	12619.31	4373.15	4186.52	2823.03	2904.26	2495.20	45955.16	9057.40	21598.98		2138.91	11035.21	40991.90	8629.26	129156.29	72419.61
15	650.73	2888.37	14716.32	15145.32	2934.10	28565.48	10701.58	27755.60	38246.74	12523.97	17641.48	128276.75	11689.04	6763.49	14905.77	14239.97	8075.41	4809.38	7932.80	7912.20	6662.14	8792.32	2754.29	2902.92	2113.91	2148.74	2845.85	32835.45	6916.80	14754.92	499.26	1944.20	9481.19	33260.54	5152.84	73561.43	53531.59
15	705.99	2606.09	13380.12	13435.55	4615.54	26159.45	10580.26	25628.72	30762.59	11277.71	19907.16	113591.75	10701.05	6261.19	17070.71	15853.79	7167.16	4757.40	7038.09	6941.10	5887.92	7526.03	2311.73	2641.45	1122.56	1777.20	3629.06	30730.14	6299.84	13336.82	559.90	1546.67	13111.28	29112.95	4469.19	65886.56	47775.85
21	470.72	2045.52	7921.32	8554.75	1170.95	12305.34	6787.91	11464.17	17379.03	7561.18	4316.90	44081.83	5064.41	5138.49	11570.26	10700.06	4909.36	2527.45	7533.05	6646.45	4047.42	10538.10	1894.38	3168.61	1301.99	1836.81	5081.96	22037.44	5804.94	11989.52	250.92	2275.64	4087.19	19131.64	4513.46	47906.46	35735.16
22	568.59	2945.03	11696.44	12269.32	2674.62	14310.31	7216.20	15269.26	23875.11	10703.03	6372.50	52575.49	7517.17	5576.68	15394.38	12608.51	7554.44	2863.27	8780.55	8090.10	5617.66	13525.27	2554.85	4304.11	2819.08	2489.15	6301.09	29151.31	8269.32	15233.38	259.77	3544.47	6864.04	26679.42	5114.06	52563.66	48332.55
22	438.06	2506.84	9157.52	10070.94	3015.94	11456.24	6991.24	12203.34	17346.01	8585.85	9899.06	42833.29	5633.58	4584.52	13657.44	11415.41	7011.77	2702.92	7334.36	6716.30	4546.14	11003.04	2312.32	4027.27	2452.94	2170.10	4604.68	22588.65	6927.74	12406.53		2954.14	7441.22	21343.29	4181.86	42199.20	38906.26
27	987.79	3001.64	8327.82	10313.36	1148.19	7527.55	3830.55	9781.94	38650.52	9841.81	7647.23	37400.73	5442.39	6312.28	12965.30	12266.22	5368.62	2942.16	10588.32	10768.45	6172.14	21251.57	2522.19	4675.39	2789.23	2643.55	4029.70	27516.69	8097.53	15213.14	187.24	4276.35	3068.14	28497.33	4532.03	43279.62	59115.31
