Genes	Solyc09g089580.2	Solyc03g083910.2	Solyc07g052350.2	Solyc12g005860.1	Solyc01g079790.2	Solyc01g109790.2	Solyc07g019440.2	Solyc07g056140.2	Solyc02g088100.2	Solyc02g091490.2	Solyc03g006860.2	Solyc06g073190.2	Solyc03g121070.2	Solyc04g081400.2	Solyc10g074500.1	Solyc01g005560.2	Solyc02g086610.2	Solyc11g011930.1	Solyc04g081440.2	Solyc04g006970.2	Solyc07g055060.2	Solyc07g062530.2	Solyc10g007290.2	Solyc12g014250.1	Solyc04g014270.2	Solyc11g010450.1	Solyc12g095880.1	Solyc02g081160.2	Solyc04g082880.2	Solyc12g095760.1	Solyc03g095900.2	Solyc07g007790.2	Solyc01g007910.2	Solyc06g083790.2	Solyc07g042550.2	Solyc12g009300.1	Solyc11g011960.1
7	0.843	2.831	5.219	3.879	0.480	2.378	0.656	4.135	2.818	2.925	0.492	26.055	2.943	0.717	0.902	1.696	0.352	1.354	1.808	5.175	4.112	5.499	1.157	3.699	0.529	1.126	1.193	2.837	1.952	0.483	0.002	1.868	2.354	3.622	20.324	60.551	5.906
8	0.843	2.831	5.219	3.879	0.480	2.378	0.656	4.135	2.818	2.925	0.492	26.055	2.943	0.717	0.902	1.696	0.352	1.354	1.808	5.175	4.112	5.499	1.157	3.699	0.529	1.126	1.193	2.837	1.952	0.483	0.002	1.868	2.354	3.622	20.324	60.551	5.906
8	0.843	2.831	5.219	3.879	0.480	2.378	0.656	4.135	2.818	2.925	0.492	26.055	2.943	0.717	0.902	1.696	0.352	1.354	1.808	5.175	4.112	5.499	1.157	3.699	0.529	1.126	1.193	2.837	1.952	0.483	0.002	1.868	2.354	3.622	20.324	60.551	5.906
15	0.867	0.619	0.685	0.866	0.089	2.023	0.215	2.726	2.185	1.025	0.337	4.909	0.280	0.347	0.330	0.571	0.118	0.461	0.958	2.797	1.815	6.329	0.170	1.098	0.235	0.430	0.274	0.963	0.503	0.212	0.001	1.373	0.603	1.184	6.140	14.418	2.497
15	0.867	0.619	0.685	0.866	0.089	2.023	0.215	2.726	2.185	1.025	0.337	4.909	0.280	0.347	0.330	0.571	0.118	0.461	0.958	2.797	1.815	6.329	0.170	1.098	0.235	0.430	0.274	0.963	0.503	0.212	0.001	1.373	0.603	1.184	6.140	14.418	2.497
15	0.867	0.619	0.685	0.866	0.089	2.023	0.215	2.726	2.185	1.025	0.337	4.909	0.280	0.347	0.330	0.571	0.118	0.461	0.958	2.797	1.815	6.329	0.170	1.098	0.235	0.430	0.274	0.963	0.503	0.212	0.001	1.373	0.603	1.184	6.140	14.418	2.497
21	0.398	1.175	0.536	0.714	0.045	1.088	0.134	2.249	0.912	0.809	0.201	3.843	0.227	0.235	0.227	0.460	0.067	0.341	1.349	2.376	0.756	4.716	0.145	0.816	0.192	0.389	0.220	0.725	0.471	0.139	0.000	1.267	0.396	0.822	5.129	9.678	2.074
22	0.398	1.175	0.536	0.714	0.045	1.088	0.134	2.249	0.912	0.809	0.201	3.843	0.227	0.235	0.227	0.460	0.067	0.341	1.349	2.376	0.756	4.716	0.145	0.816	0.192	0.389	0.220	0.725	0.471	0.139	0.000	1.267	0.396	0.822	5.129	9.678	2.074
22	0.398	1.175	0.536	0.714	0.045	1.088	0.134	2.249	0.912	0.809	0.201	3.843	0.227	0.235	0.227	0.460	0.067	0.341	1.349	2.376	0.756	4.716	0.145	0.816	0.192	0.389	0.220	0.725	0.471	0.139	0.000	1.267	0.396	0.822	5.129	9.678	2.074
27	1.078	0.455	0.274	0.378	0.025	0.580	0.102	1.201	0.685	0.404	0.124	1.824	0.112	0.158	0.159	0.289	0.056	0.255	0.714	1.947	0.544	4.499	0.057	0.503	0.112	0.233	0.143	0.264	0.253	0.117	0.003	0.869	0.214	0.548	2.224	4.363	1.335
28	1.078	0.455	0.274	0.378	0.025	0.580	0.102	1.201	0.685	0.404	0.124	1.824	0.112	0.158	0.159	0.289	0.056	0.255	0.714	1.947	0.544	4.499	0.057	0.503	0.112	0.233	0.143	0.264	0.253	0.117	0.003	0.869	0.214	0.548	2.224	4.363	1.335
29	1.078	0.455	0.274	0.378	0.025	0.580	0.102	1.201	0.685	0.404	0.124	1.824	0.112	0.158	0.159	0.289	0.056	0.255	0.714	1.947	0.544	4.499	0.057	0.503	0.112	0.233	0.143	0.264	0.253	0.117	0.003	0.869	0.214	0.548	2.224	4.363	1.335
34	1.910	0.282	0.166	0.263	0.013	0.131	0.051	0.670	0.438	0.256	0.046	0.787	0.083	0.104	0.102	0.223	0.039	0.129	0.636	1.775	0.488	3.114	0.038	0.433	0.052	0.144	0.144	0.357	0.224	0.058	0.015	0.980	0.179	0.343	0.808	1.839	0.886
34	1.910	0.282	0.166	0.263	0.013	0.131	0.051	0.670	0.438	0.256	0.046	0.787	0.083	0.104	0.102	0.223	0.039	0.129	0.636	1.775	0.488	3.114	0.038	0.433	0.052	0.144	0.144	0.357	0.224	0.058	0.015	0.980	0.179	0.343	0.808	1.839	0.886
