Genes	Solyc09g089580.2	Solyc03g083910.2	Solyc07g052350.2	Solyc12g005860.1	Solyc01g079790.2	Solyc01g109790.2	Solyc07g019440.2	Solyc07g056140.2	Solyc02g088100.2	Solyc02g091490.2	Solyc03g006860.2	Solyc06g073190.2	Solyc03g121070.2	Solyc04g081400.2	Solyc10g074500.1	Solyc01g005560.2	Solyc02g086610.2	Solyc11g011930.1	Solyc04g081440.2	Solyc04g006970.2	Solyc07g055060.2	Solyc07g062530.2	Solyc10g007290.2	Solyc12g014250.1	Solyc04g014270.2	Solyc11g010450.1	Solyc12g095880.1	Solyc02g081160.2	Solyc04g082880.2	Solyc12g095760.1	Solyc03g095900.2	Solyc07g007790.2	Solyc01g007910.2	Solyc06g083790.2	Solyc07g042550.2	Solyc12g009300.1	Solyc11g011960.1
7	0.207	0.321	0.229	0.248	0.046	0.285	0.057	0.194	1.113	0.270	0.081	2.144	0.209	0.060	0.077	0.102	0.046	0.154	0.373	0.490	0.361	0.422	0.085	0.315	0.060	0.123	0.103	0.127	0.122	0.030	0.002	0.242	0.099	0.183	1.328	2.880	0.297
8	0.207	0.321	0.229	0.248	0.046	0.285	0.057	0.194	1.113	0.270	0.081	2.144	0.209	0.060	0.077	0.102	0.046	0.154	0.373	0.490	0.361	0.422	0.085	0.315	0.060	0.123	0.103	0.127	0.122	0.030	0.002	0.242	0.099	0.183	1.328	2.880	0.297
8	0.207	0.321	0.229	0.248	0.046	0.285	0.057	0.194	1.113	0.270	0.081	2.144	0.209	0.060	0.077	0.102	0.046	0.154	0.373	0.490	0.361	0.422	0.085	0.315	0.060	0.123	0.103	0.127	0.122	0.030	0.002	0.242	0.099	0.183	1.328	2.880	0.297
15	0.069	0.094	0.068	0.098	0.018	0.388	0.044	0.192	0.438	0.089	0.060	1.401	0.042	0.059	0.061	0.032	0.019	0.085	0.441	0.354	0.222	0.711	0.027	0.149	0.029	0.056	0.035	0.193	0.055	0.021	0.000	0.244	0.087	0.168	0.549	1.399	0.162
15	0.069	0.094	0.068	0.098	0.018	0.388	0.044	0.192	0.438	0.089	0.060	1.401	0.042	0.059	0.061	0.032	0.019	0.085	0.441	0.354	0.222	0.711	0.027	0.149	0.029	0.056	0.035	0.193	0.055	0.021	0.000	0.244	0.087	0.168	0.549	1.399	0.162
15	0.069	0.094	0.068	0.098	0.018	0.388	0.044	0.192	0.438	0.089	0.060	1.401	0.042	0.059	0.061	0.032	0.019	0.085	0.441	0.354	0.222	0.711	0.027	0.149	0.029	0.056	0.035	0.193	0.055	0.021	0.000	0.244	0.087	0.168	0.549	1.399	0.162
21	0.039	0.142	0.019	0.044	0.006	0.011	0.012	0.095	0.057	0.011	0.003	0.550	0.025	0.029	0.025	0.014	0.008	0.017	0.777	0.129	0.027	0.448	0.015	0.120	0.005	0.034	0.023	0.050	0.027	0.003	0.000	0.197	0.046	0.057	0.189	0.426	0.061
22	0.039	0.142	0.019	0.044	0.006	0.011	0.012	0.095	0.057	0.011	0.003	0.550	0.025	0.029	0.025	0.014	0.008	0.017	0.777	0.129	0.027	0.448	0.015	0.120	0.005	0.034	0.023	0.050	0.027	0.003	0.000	0.197	0.046	0.057	0.189	0.426	0.061
22	0.039	0.142	0.019	0.044	0.006	0.011	0.012	0.095	0.057	0.011	0.003	0.550	0.025	0.029	0.025	0.014	0.008	0.017	0.777	0.129	0.027	0.448	0.015	0.120	0.005	0.034	0.023	0.050	0.027	0.003	0.000	0.197	0.046	0.057	0.189	0.426	0.061
27	0.176	0.058	0.019	0.028	0.005	0.037	0.013	0.066	0.052	0.023	0.015	0.536	0.012	0.018	0.022	0.022	0.007	0.031	0.401	0.255	0.039	0.531	0.007	0.075	0.011	0.030	0.016	0.061	0.023	0.007	0.001	0.139	0.023	0.041	0.164	0.347	0.066
28	0.176	0.058	0.019	0.028	0.005	0.037	0.013	0.066	0.052	0.023	0.015	0.536	0.012	0.018	0.022	0.022	0.007	0.031	0.401	0.255	0.039	0.531	0.007	0.075	0.011	0.030	0.016	0.061	0.023	0.007	0.001	0.139	0.023	0.041	0.164	0.347	0.066
29	0.176	0.058	0.019	0.028	0.005	0.037	0.013	0.066	0.052	0.023	0.015	0.536	0.012	0.018	0.022	0.022	0.007	0.031	0.401	0.255	0.039	0.531	0.007	0.075	0.011	0.030	0.016	0.061	0.023	0.007	0.001	0.139	0.023	0.041	0.164	0.347	0.066
34	0.209	0.023	0.008	0.026	0.001	0.005	0.010	0.035	0.029	0.006	0.003	0.173	0.007	0.014	0.014	0.007	0.004	0.012	0.412	0.098	0.011	0.192	0.004	0.058	0.003	0.017	0.012	0.066	0.016	0.002	0.002	0.135	0.031	0.038	0.045	0.079	0.032
34	0.209	0.023	0.008	0.026	0.001	0.005	0.010	0.035	0.029	0.006	0.003	0.173	0.007	0.014	0.014	0.007	0.004	0.012	0.412	0.098	0.011	0.192	0.004	0.058	0.003	0.017	0.012	0.066	0.016	0.002	0.002	0.135	0.031	0.038	0.045	0.079	0.032
35	0.209	0.023	0.008	0.026	0.001	0.005	0.010	0.035	0.029	0.006	0.003	0.173	0.007	0.014	0.014	0.007	0.004	0.012	0.412	0.098	0.011	0.192	0.004	0.058	0.003	0.017	0.012	0.066	0.016	0.002	0.002	0.135	0.031	0.038	0.045	0.079	0.032
40	0.184	0.023	0.020	0.044	0.003	0.015	0.012	0.031	0.039	0.014	0.011	0.426	0.006	0.012	0.020	0.030	0.008	0.028	0.399	0.118	0.022	0.240	0.003	0.046	0.007	0.019	0.012	0.051	0.021	0.004	0.016	0.073	0.032	0.038	0.097	0.222	0.054
42	0.184	0.023	0.020	0.044	0.003	0.015	0.012	0.031	0.039	0.014	0.011	0.426	0.006	0.012	0.020	0.030	0.008	0.028	0.399	0.118	0.022	0.240	0.003	0.046	0.007	0.019	0.012	0.051	0.021	0.004	0.016	0.073	0.032	0.038	0.097	0.222	0.054
42	0.184	0.023	0.020	0.044	0.003	0.015	0.012	0.031	0.039	0.014	0.011	0.426	0.006	0.012	0.020	0.030	0.008	0.028	0.399	0.118	0.022	0.240	0.003	0.046	0.007	0.019	0.012	0.051	0.021	0.004	0.016	0.073	0.032	0.038	0.097	0.222	0.054
49	8.505	0.152	0.014	0.107	0.001	0.001	0.015	0.007	0.002	0.014	0.011	0.187	0.002	0.006	0.026	0.045	0.008	0.047	0.151	0.060	0.057	0.050	0.000	0.018	0.009	0.059	0.021	0.058	0.013	0.002	0.450	0.115	0.033	0.043	0.019	0.010	0.025
48	8.505	0.152	0.014	0.107	0.001	0.001	0.015	0.007	0.002	0.014	0.011	0.187	0.002	0.006	0.026	0.045	0.008	0.047	0.151	0.060	0.057	0.050	0.000	0.018	0.009	0.059	0.021	0.058	0.013	0.002	0.450	0.115	0.033	0.043	0.019	0.010	0.025
50	10.987	0.143	0.013	0.092	0.000	0.001	0.013	0.001	0.000	0.014	0.008	0.090	0.001	0.003	0.029	0.030	0.010	0.031	0.108	0.004	0.036	0.011	0.000	0.007	0.006	0.050	0.018	0.056	0.021	0.001	0.742	0.103	0.039	0.043	0.013	0.004	0.014
50	10.987	0.143	0.013	0.092	0.000	0.001	0.013	0.001	0.000	0.014	0.008	0.090	0.001	0.003	0.029	0.030	0.010	0.031	0.108	0.004	0.036	0.011	0.000	0.007	0.006	0.050	0.018	0.056	0.021	0.001	0.742	0.103	0.039	0.043	0.013	0.004	0.014
51	10.987	0.143	0.013	0.092	0.000	0.001	0.013	0.001	0.000	0.014	0.008	0.090	0.001	0.003	0.029	0.030	0.010	0.031	0.108	0.004	0.036	0.011	0.000	0.007	0.006	0.050	0.018	0.056	0.021	0.001	0.742	0.103	0.039	0.043	0.013	0.004	0.014
54	15.175	2.390	0.025	0.119	0.000	0.000	0.013	0.000	0.000	0.031	0.008	0.087	0.002	0.002	0.035	0.053	0.012	0.044	0.089	0.010	0.086	0.017	0.000	0.012	0.008	0.041	0.043	0.049	0.023	0.001	0.611	0.178	0.031	0.047	0.017	0.002	0.023
53	15.175	2.390	0.025	0.119	0.000	0.000	0.013	0.000	0.000	0.031	0.008	0.087	0.002	0.002	0.035	0.053	0.012	0.044	0.089	0.010	0.086	0.017	0.000	0.012	0.008	0.041	0.043	0.049	0.023	0.001	0.611	0.178	0.031	0.047	0.017	0.002	0.023
52	15.175	2.390	0.025	0.119	0.000	0.000	0.013	0.000	0.000	0.031	0.008	0.087	0.002	0.002	0.035	0.053	0.012	0.044	0.089	0.010	0.086	0.017	0.000	0.012	0.008	0.041	0.043	0.049	0.023	0.001	0.611	0.178	0.031	0.047	0.017	0.002	0.023
