Genes	Solyc09g089580.2	Solyc03g083910.2	Solyc07g052350.2	Solyc12g005860.1	Solyc01g079790.2	Solyc01g109790.2	Solyc07g019440.2	Solyc07g056140.2	Solyc02g088100.2	Solyc02g091490.2	Solyc03g006860.2	Solyc06g073190.2	Solyc03g121070.2	Solyc04g081400.2	Solyc10g074500.1	Solyc01g005560.2	Solyc02g086610.2	Solyc11g011930.1	Solyc04g081440.2	Solyc04g006970.2	Solyc07g055060.2	Solyc07g062530.2	Solyc10g007290.2	Solyc12g014250.1	Solyc04g014270.2	Solyc11g010450.1	Solyc12g095880.1	Solyc02g081160.2	Solyc04g082880.2	Solyc12g095760.1	Solyc03g095900.2	Solyc07g007790.2	Solyc01g007910.2	Solyc06g083790.2	Solyc07g042550.2	Solyc12g009300.1	Solyc11g011960.1
7	0.64	2.51	4.99	3.63	0.43	2.09	0.60	3.94	1.71	2.66	0.41	23.91	2.73	0.66	0.83	1.59	0.31	1.20	1.43	4.68	3.75	5.08	1.07	3.38	0.47	1.00	1.09	2.71	1.83	0.45	0.00	1.63	2.25	3.44	19.00	57.67	5.61
8	0.64	2.51	4.99	3.63	0.43	2.09	0.60	3.94	1.71	2.66	0.41	23.91	2.73	0.66	0.83	1.59	0.31	1.20	1.43	4.68	3.75	5.08	1.07	3.38	0.47	1.00	1.09	2.71	1.83	0.45	0.00	1.63	2.25	3.44	19.00	57.67	5.61
8	0.64	2.51	4.99	3.63	0.43	2.09	0.60	3.94	1.71	2.66	0.41	23.91	2.73	0.66	0.83	1.59	0.31	1.20	1.43	4.68	3.75	5.08	1.07	3.38	0.47	1.00	1.09	2.71	1.83	0.45	0.00	1.63	2.25	3.44	19.00	57.67	5.61
15	0.80	0.53	0.62	0.77	0.07	1.63	0.17	2.53	1.75	0.94	0.28	3.51	0.24	0.29	0.27	0.54	0.10	0.38	0.52	2.44	1.59	5.62	0.14	0.95	0.21	0.37	0.24	0.77	0.45	0.19	0.00	1.13	0.52	1.02	5.59	13.02	2.33
15	0.80	0.53	0.62	0.77	0.07	1.63	0.17	2.53	1.75	0.94	0.28	3.51	0.24	0.29	0.27	0.54	0.10	0.38	0.52	2.44	1.59	5.62	0.14	0.95	0.21	0.37	0.24	0.77	0.45	0.19	0.00	1.13	0.52	1.02	5.59	13.02	2.33
15	0.80	0.53	0.62	0.77	0.07	1.63	0.17	2.53	1.75	0.94	0.28	3.51	0.24	0.29	0.27	0.54	0.10	0.38	0.52	2.44	1.59	5.62	0.14	0.95	0.21	0.37	0.24	0.77	0.45	0.19	0.00	1.13	0.52	1.02	5.59	13.02	2.33
21	0.36	1.03	0.52	0.67	0.04	1.08	0.12	2.15	0.86	0.80	0.20	3.29	0.20	0.21	0.20	0.45	0.06	0.32	0.57	2.25	0.73	4.27	0.13	0.70	0.19	0.35	0.20	0.67	0.44	0.14	0.00	1.07	0.35	0.76	4.94	9.25	2.01
22	0.36	1.03	0.52	0.67	0.04	1.08	0.12	2.15	0.86	0.80	0.20	3.29	0.20	0.21	0.20	0.45	0.06	0.32	0.57	2.25	0.73	4.27	0.13	0.70	0.19	0.35	0.20	0.67	0.44	0.14	0.00	1.07	0.35	0.76	4.94	9.25	2.01
22	0.36	1.03	0.52	0.67	0.04	1.08	0.12	2.15	0.86	0.80	0.20	3.29	0.20	0.21	0.20	0.45	0.06	0.32	0.57	2.25	0.73	4.27	0.13	0.70	0.19	0.35	0.20	0.67	0.44	0.14	0.00	1.07	0.35	0.76	4.94	9.25	2.01
27	0.90	0.40	0.25	0.35	0.02	0.54	0.09	1.13	0.63	0.38	0.11	1.29	0.10	0.14	0.14	0.27	0.05	0.22	0.31	1.69	0.50	3.97	0.05	0.43	0.10	0.20	0.13	0.20	0.23	0.11	0.00	0.73	0.19	0.51	2.06	4.02	1.27
28	0.90	0.40	0.25	0.35	0.02	0.54	0.09	1.13	0.63	0.38	0.11	1.29	0.10	0.14	0.14	0.27	0.05	0.22	0.31	1.69	0.50	3.97	0.05	0.43	0.10	0.20	0.13	0.20	0.23	0.11	0.00	0.73	0.19	0.51	2.06	4.02	1.27
29	0.90	0.40	0.25	0.35	0.02	0.54	0.09	1.13	0.63	0.38	0.11	1.29	0.10	0.14	0.14	0.27	0.05	0.22	0.31	1.69	0.50	3.97	0.05	0.43	0.10	0.20	0.13	0.20	0.23	0.11	0.00	0.73	0.19	0.51	2.06	4.02	1.27
34	1.70	0.26	0.16	0.24	0.01	0.13	0.04	0.63	0.41	0.25	0.04	0.61	0.08	0.09	0.09	0.22	0.03	0.12	0.22	1.68	0.48	2.92	0.03	0.37	0.05	0.13	0.13	0.29	0.21	0.06	0.01	0.84	0.15	0.30	0.76	1.76	0.85
