DPA	Solyc04g071620.2.1	Solyc04g081490.2.1	Solyc04g081900.2.1
7	1034.406144	220351.992	2025.075836
8	0	181851.2136	3401.611873
8	0	137516.7567	1328.759813
15	1536.817345	134771.8338	2398.36036
15	1264.249572	125957.5572	1816.872474
15	1015.079662	103399.7841	2674.433494
21	3697.865371	77107.99193	1438.356622
22	5524.942012	113529.0139	1940.900326
22	4383.512288	93065.20337	1514.549988
27	12404.76222	112681.4806	1584.314695
28	9927.837096	74298.78977	1499.558194
29	12774.01968	98867.84856	532.3114531
34	10731.28336	73008.87544	1140.753357
34	17993.46311	78548.43662	1233.04375
35	11224.3987	86265.65684	1483.531889
40	11638.43205	79018.16758	1044.405288
42	14179.16555	65598.76137	1152.134135
42	8563.858087	43288.44308	1003.785976
48	13721.87347	22416.25322	1772.637825
49	11459.87014	22597.84093	1934.015012
50	5034.967392	14618.1259	1937.274011
50	4864.161951	13560.13331	1789.75934
51	4902.051727	15316.3647	1850.859091
52	2179.092916	7423.444336	3039.61206
53	3380.188357	5216.13976	2692.455729
54	3813.546755	11693.30916	3629.077373
