Gene,Transcrit,Protein,Accession
Acc00006,Acc00006.1,c887.a1.a1,PSS17616
Acc00011,Acc00011.1,c652.a1.a1,PSS17621
Acc00018,Acc00018.1,d1743.a2.a1,PSS17628
Acc00036,Acc00036.1,d1146.a1.a1,PSS17650
Acc00037,Acc00037.1,d1962.a1.a1,PSS17651
Acc00046,Acc00046.1,b35.b10.a1,PSS17658
Acc00054,Acc00054.1,d2502.a2.a1,PSS17666
Acc00055,Acc00055.1,d1111.a1.a1,PSS17667
Acc00058,Acc00058.1,d3401.a1.a1,PSS17669
Acc00069,Acc00069.1,c457.a2.a1,PSS17680
Acc00072,Acc00072.1,d2518.a1.a1,PSS17683
Acc00076,Acc00076.1,d2466.a1.a1,PSS17686
Acc00078,Acc00078.1,d2940.a1.a1,PSS17688
Acc00088,Acc00088.1,c545.a1.a1,PSS17697
Acc00097,Acc00097.1,d1247.a1.a1,PSS17705
Acc00101,Acc00101.1,d2129.a1.a1,PSS17709
Acc00113,Acc00113.1,c532.a1.a1,PSS35630
Acc00115,Acc00115.1,d3076.a1.a1,PSS35632
Acc00131,Acc00131.1,d1216.a1.a1,PSS35648
Acc00137,Acc00137.1,c665.a2.a1,PSS35654
Acc00141,Acc00141.1,c234.a1.a1,PSS35657
Acc00144,Acc00144.1,b23.a2.a1,PSS35660
Acc00145,Acc00145.1,b40.a1.a1,PSS35661
Acc00157,Acc00157.1,c111.a5.a1,PSS35673
Acc00180,Acc00180.1,c123.a3.a1,PSS35695
Acc00188,Acc00188.1,d1297.a1.a1,PSS35702
Acc00203,Acc00203.1,d1413.a1.a1,PSS35893
Acc00205,Acc00205.1,c489.a1.a1,PSS35895
Acc00209,Acc00209.1,c311.a2.a1,PSS35899
Acc00212,Acc00212.1,d1571.a1.a1,PSS35901
Acc00216,Acc00216.1,b96.a2.a1,PSS35905
Acc00216,Acc00216.2,b96.a2.a1,PSS35905
Acc00220,Acc00220.1,c129.a2.a1,PSS35908
Acc00225,Acc00225.1,b95.a1.a1,PSS35912
Acc00229,Acc00229.1,c679.a1.a1,PSS35916
Acc00234,Acc00234.1,d1888.a1.a1,PSS35921
Acc00238,Acc00238.1,d1963.a2.a1,PSS35925
Acc00244,Acc00244.1,d1960.a1.a1,PSS35714
Acc00255,Acc00255.1,d2020.a1.a1,PSS35889
Acc00257,Acc00257.1,c572.a1.a1,PSS35887
Acc00259,Acc00259.1,c280.a1.a1,PSS35885
Acc00260,Acc00260.1,c253.a4.a1,PSS35884
Acc00263,Acc00263.1,c636.a5.a1,PSS35882
Acc00264,Acc00264.1,c925.a1.a1,PSS35881
Acc00271,Acc00271.1,c103.a1.a1,PSS35874
Acc00280,Acc00280.1,d1553.a1.a1,PSS35866
Acc00284,Acc00284.1,d3210.a1.a1,PSS35862
Acc00294,Acc00294.1,d1831.a1.a1,PSS35852
Acc00297,Acc00297.1,c239.a4.a1,PSS35849
Acc00330,Acc00330.1,d3423.a1.a1,PSS35819
Acc00332,Acc00332.1,d3164.a1.a1,PSS35817
Acc00334,Acc00334.1,d3105.a1.a1,PSS35816
Acc00336,Acc00336.1,c898.a2.a1,PSS35725
Acc00338,Acc00338.1,c473.a1.a1,PSS35727
Acc00341,Acc00341.1,d2712.a1.a1,PSS35730
Acc00342,Acc00342.1,d3209.a1.a1,PSS35731
Acc00350,Acc00350.1,d1492.a1.a1,PSS35739
Acc00352,Acc00352.1,c688.a2.a1,PSS35740
Acc00356,Acc00356.1,c225.a3.a1,PSS35744
Acc00357,Acc00357.1,d1299.a1.a1,PSS35745
Acc00359,Acc00359.1,c726.a1.a1,PSS35747
Acc00365,Acc00365.1,d1712.a2.a1,PSS35753
Acc00368,Acc00368.1,c714.a1.a1,PSS35756
Acc00373,Acc00373.1,c778.a1.a1,PSS35761
Acc00374,Acc00374.1,d3077.a1.a1,PSS35762
Acc00375,Acc00375.1,d1781.a1.a1,PSS35763
Acc00380,Acc00380.1,d1679.a1.a1,PSS35768
Acc00383,Acc00383.1,c141.a1.a1,PSS35771
Acc00387,Acc00387.1,b50.a1.a1,PSS35775
Acc00389,Acc00389.1,c875.a1.a1,PSS35777
Acc00390,Acc00390.1,d2218.a1.a1,PSS35778
Acc00392,Acc00392.1,d2869.a1.a1,PSS35780
Acc00393,Acc00393.1,d1138.a2.a1,PSS35781
Acc00394,Acc00394.1,d1006.a1.a1,PSS35782
Acc00395,Acc00395.1,d3050.a1.a1,PSS35783
Acc00398,Acc00398.1,c941.a1.a1,PSS35785
Acc00406,Acc00406.1,d1606.a1.a1,PSS35792
Acc00408,Acc00408.1,d1876.a1.a1,PSS35794
